person, block, runNumber, visualise, trialNumber, targetPresent, responseTime, response
2, coloured, 28, yes, 2, 0, NaN, NaN
2, coloured, 28, yes, 3, 0, 0.494595, -1
2, coloured, 28, yes, 4, 1, 0.456028, 1
2, coloured, 28, yes, 5, 1, 0.588494, 1
2, coloured, 29, yes, 1, 1, NaN, NaN
2, coloured, 29, yes, 2, 1, NaN, NaN
2, coloured, 29, yes, 3, 1, 0.539745, 1
2, coloured, 30, yes, 1, 0, NaN, NaN
2, coloured, 30, yes, 2, 1, NaN, NaN
2, coloured, 30, yes, 3, 1, 0.547585, 1
2, coloured, 30, yes, 4, 0, 0.433141, -1
2, coloured, 30, yes, 5, 0, 0.358716, -1
2, coloured, 1, yes, 1, 1, NaN, NaN
2, coloured, 1, yes, 2, 1, NaN, NaN
2, coloured, 1, yes, 3, 0, 0.511517, -1
2, coloured, 1, yes, 4, 0, 0.534910, -1
2, coloured, 2, yes, 1, 0, NaN, NaN
2, coloured, 2, yes, 2, 0, NaN, NaN
2, coloured, 2, yes, 3, 0, 0.476807, -1
2, coloured, 3, no, 1, 0, 0.448381, -1
2, coloured, 3, no, 2, 0, 0.435424, -1
2, coloured, 3, no, 3, 1, 0.398464, 1
2, coloured, 4, yes, 1, 0, NaN, NaN
2, coloured, 4, yes, 2, 1, NaN, NaN
2, coloured, 4, yes, 3, 0, 0.606275, -1
2, coloured, 5, no, 1, 1, 0.574152, 1
2, coloured, 5, no, 2, 0, 0.715987, -1
2, coloured, 5, no, 3, 0, 0.473259, -1
2, coloured, 5, no, 4, 1, 0.446820, 1
2, coloured, 5, no, 5, 0, 0.417382, -1
2, coloured, 6, yes, 1, 1, NaN, NaN
2, coloured, 6, yes, 2, 0, NaN, NaN
2, coloured, 6, yes, 3, 1, 0.675382, 1
2, coloured, 7, no, 1, 0, 0.486054, -1
2, coloured, 7, no, 2, 1, 0.287842, 1
2, coloured, 7, no, 3, 0, 0.422110, -1
2, coloured, 7, no, 4, 0, 0.466270, -1
2, coloured, 8, yes, 1, 0, NaN, NaN
2, coloured, 8, yes, 2, 1, NaN, NaN
2, coloured, 8, yes, 3, 0, 0.723500, -1
2, coloured, 9, no, 1, 1, 1.497516, -1
2, coloured, 9, no, 2, 1, 0.504468, 1
2, coloured, 9, no, 3, 1, 0.505515, 1
2, coloured, 9, no, 4, 1, 0.541475, 1
2, coloured, 9, no, 5, 0, 0.451688, -1
2, coloured, 10, yes, 1, 0, NaN, NaN
2, coloured, 10, yes, 2, 1, NaN, NaN
2, coloured, 10, yes, 3, 0, 0.545965, -1
2, coloured, 10, yes, 4, 1, 0.379044, 1
2, coloured, 11, yes, 1, 0, NaN, NaN
2, coloured, 11, yes, 2, 0, NaN, NaN
2, coloured, 11, yes, 3, 1, 0.507047, 1
2, coloured, 11, yes, 4, 0, 0.290399, -1
2, coloured, 11, yes, 5, 0, 0.371999, -1
2, coloured, 12, no, 1, 0, 0.392806, -1
2, coloured, 12, no, 2, 0, 0.291277, -1
2, coloured, 12, no, 3, 1, 0.246811, 1
2, coloured, 12, no, 4, 0, 0.386818, -1
2, coloured, 13, no, 1, 0, 0.391010, -1
2, coloured, 13, no, 2, 0, 0.386756, -1
2, coloured, 13, no, 3, 0, 0.321546, -1
2, coloured, 13, no, 4, 1, 0.350575, -1
2, coloured, 13, no, 5, 1, 0.341824, 1
2, coloured, 14, no, 1, 1, 0.806258, 1
2, coloured, 14, no, 2, 0, 0.482260, -1
2, coloured, 14, no, 3, 0, 0.521915, -1
2, coloured, 15, no, 1, 1, 0.570725, 1
2, coloured, 15, no, 2, 1, 0.415239, 1
2, coloured, 15, no, 3, 0, 0.444887, -1
2, coloured, 16, no, 1, 1, 0.477347, 1
2, coloured, 16, no, 2, 0, 0.427513, -1
2, coloured, 16, no, 3, 1, 0.812528, 1
2, coloured, 16, no, 4, 1, 0.327328, 1
2, coloured, 16, no, 5, 0, 0.521629, -1
2, coloured, 17, yes, 1, 0, NaN, NaN
2, coloured, 17, yes, 2, 1, NaN, NaN
2, coloured, 17, yes, 3, 1, 1.099108, 1
2, coloured, 17, yes, 4, 0, 0.458974, -1
2, coloured, 17, yes, 5, 0, 0.441363, -1
2, coloured, 18, no, 1, 0, 0.466750, -1
2, coloured, 18, no, 2, 0, 0.633462, -1
2, coloured, 18, no, 3, 0, 0.504403, -1
2, coloured, 19, no, 1, 1, 0.380766, 1
2, coloured, 19, no, 2, 1, 0.520883, 1
2, coloured, 19, no, 3, 1, 0.338808, 1
2, coloured, 20, no, 1, 1, 0.368633, 1
2, coloured, 20, no, 2, 1, 0.316432, 1
2, coloured, 20, no, 3, 1, 0.399477, 1
2, coloured, 20, no, 4, 1, 0.454271, 1
2, coloured, 20, no, 5, 1, 0.514343, 1
2, coloured, 21, no, 1, 1, 0.618598, 1
2, coloured, 21, no, 2, 1, 0.529024, 1
2, coloured, 21, no, 3, 0, 0.589496, -1
2, coloured, 22, yes, 1, 1, NaN, NaN
