person,block,visualise,trialNumber,nTrials,responseTimeMean,responseTimeMedian,stddev,stderr,lower,upper
29, coloured,yes,4,43, 508.7630,473.4160,0.2514984,0.03835315,8.324091e+220,9.674545e+220
29, coloured,yes,5,26, 565.3452,519.0600,0.2930494,0.05747171,3.001648e+245,3.760119e+245
30, coloured,no,1,59, 512.6549,473.2260,0.2567876,0.03343090,4.118545e+222,4.695240e+222
30, coloured,no,2,51, 493.3236,464.4050,0.2520623,0.03529578,1.650731e+214,1.895680e+214
30, coloured,no,3,58, 516.5461,488.5930,0.2821578,0.03704914,2.002629e+224,2.315657e+224
30, coloured,no,4,39, 496.2393,473.4460,0.2855769,0.04572889,2.985925e+215,3.572148e+215
30, coloured,no,5,26, 485.2537,442.6910,0.2796776,0.05484930,4.969686e+210,6.161781e+210
30, coloured,yes,3,60, 457.2385,435.5400,0.1730837,0.02234501,3.606924e+198,3.937113e+198
30, coloured,yes,4,43, 456.8663,444.4580,0.2313040,0.03527354,2.423811e+198,2.783233e+198
30, coloured,yes,5,26, 451.9278,451.5110,0.1670705,0.03276521,1.745271e+196,1.984465e+196
